Event Link,Date & Time,Event Name,Location,Event Description,Attendees,Hosted By,Category
https://www.meetup.com/beer-and-casual-board-games/events/304619652/?recId=c3f2fa05-421a-4c68-91a1-3e7c4b3e6ff9&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T17:00:00-05:00,Beer and Casual Board Games in Toronto,"579 St Clair Ave W · Toronto, ON","TLDR: come and play casual board games with beer, no experience necessary
This event takes place at The Guild House, on St.Clair west, check out theirwebsite/google maps.
As usual:No previous experience is necessary. This event takes place in a board game place; check out their selection of games on their website. Or bring your favorite game (as long as it's labeled with your name).
Note: The venue charges $10 entrance fee.
Q: When does it start?A: it lasts from 5pm to 11pm and you can show up at any time, but I recommend checking in with others (spreadsheet below or comments)
Q: I don't know anybody, can I come?A: Of course, this is what this group (and meetup in general) is about. Come and make new friends, people here are very friendly.
Q: What happens during the event?A: It's super casual - people come in, find somebody who wants to play or is playing - and join them. There is no formal process and no central person directing everyone.
Q: I don't know how to play games, will there be instructions?A: Yes, people are always happy to explain games. No expectation of experience.
Q: Do I need to bring something/dress up a certain way etc?A: No you don't need to bring anything, but of course, if you would like to bring any specific board game, you're more than welcome to do so. Also, if you want to dress up, I am not going to stop you :) But there is no dress code. It's a casual lounge setting.
Q: I am looking to play a specific game...A: Ask in the comments
Q: Can I come alone? Can I bring guests?A: Yes and yes.
Msg me or post a comment if you have any questions.",14,Yaroslav,Entertainment
https://www.meetup.com/toronto-seniors-social-club/events/303077862/?recId=c3f2fa05-421a-4c68-91a1-3e7c4b3e6ff9&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-15T11:00:00-05:00,PICKLE BARREL  Brunch and/or Lunch,"2300 Yonge St · Toronto, ON","Let’s enjoy brunch again at the Pickle Barrel. Not into brekkie then grab a burger, your fave pasta and salad or wings and FF. The menu boasts over 300 items made from scratch.
Parking is worry-free since it is validated by the Pickle Barrel on the weekends when you arrive. Want to save on gas then the TTC subway is just a hop, skip and a jump, literally, from the Yonge Eglinton Centre. The Parking lot entrance is on Orchard Park Blvd. 1 block north/west of Eglinton Avenue.",16,Cindy,Entertainment
https://www.meetup.com/soulcity/events/304429594/?recId=c3f2fa05-421a-4c68-91a1-3e7c4b3e6ff9&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T21:00:00-05:00,The Ultimate Mix & Mingle Pub Party! (Saturday December 7th),"3185 Yonge street (just north of Lawrence avenue) · Toronto, ON","Hello everyone,
Please join us for a great night at this wonderful venue(Taverna Yiannis Greek Grill & Pub)conveniently located at Yonge & Lawrence; (literally right beside the subway with free parking on Lawrence and plenty of parking on Yonge street.)
*Including a funsocial party ice breaker game-fast and easy way to get to know everyone when you arrive
*Arrive between 9 pm and 9:30 to mix and mingleDancing shortly after that :)
*With hired DJ, all request music, dancing, expanded dance floor and disco lights just after 9:30 pm for those that want to dance the night away!
-Joined by my other social groups so we can anticipate an amazing turn out- feel free to invite your friends out too if you like :)
GOOD VIBES ONLY :)------
Event Details below:
Steve FlemmingOrganizer & Host------------Event Details:
The Ultimate Mix & Mingle Pub Party!
*Including a funsocial party ice breaker game-perfect to get to know everyone when you arriveThen just after 9:30 pm get ready to dance the nigh away to the very best of the 70s to 2000s (along with your great requests too)*Plenty of street parking on Lawrence and Yonge street*Also right beside the Yonge/Lawrence subway station- (North side Exit)-----------------------------
Event Fee: (Cash only at the door)10 dollars at the door (cash only please)or e transfer to steveflemming11@gmail.com*celebrate your birthday with us too if you like :)
Includes:Co-ordination of the event, Social Icebreaker Game, Mix & Mingle, All Request Dance Party, Amazing people who love to dance, Drinks Specials, Reserved Seating, Fabulous Service and Wonderful Dinner & Appetizer Menu too---------------------------------------",72,Steve,Entertainment
https://www.meetup.com/dchistoryandculture/events/303589033/?recId=c3f2fa05-421a-4c68-91a1-3e7c4b3e6ff9&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T20:00:00-05:00,Frank Sinatra's Birthday Celebration - Music History Livestream,Online,"Frank Sinatra's Birthday Celebration - Music History Livestream
It'sFrank Sinatra's birthday, born December 12, 1915, so let's celebrate the musical legacy of Ol' Blue Eyes - The Chairman of the Board.Our music history livestream program will play video selections from Frank Sinatra's best musical and film performances along with commentary on his fascinating life and career.During our program you'll have an opportunity to discuss the music with your fellow attendees via Zoom.
Frank Sinatra(December 12, 1915 - May 14, 1998) was an American singer, actor and producer who was one of the most popular and influential musical artists of the 20th century. He is one of the best-selling music artists of all time, having sold more than 150 million records worldwide.Born to Italian immigrants in Hoboken, New Jersey, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey. Sinatra then found success as a solo artist becoming the idol of the ""bobby soxers"".Sinatra released a string of successful albums and was also the recipient of eleven Grammy Awards. Using his Las Vegas shows as a home base, he toured both within the United States and internationally until shortly before his death in 1998.While Sinatra never learned how to read music, he worked very hard from a young age to improve his abilities in all aspects of music. A perfectionist, renowned for his dress sense and performing presence, he always insisted on recording live with his band. His bright blue eyes earned him the popular nickname ""Ol' Blue Eyes"".Sinatra also forged a highly successful career as a film actor and led a colorful personal life, including turbulent affairs with many women.Frank Sinatra continues to be seen as iconic figure in music, film and popular culture.
***
Zoom Connection LinkClick (or Copy and Paste) and Follow the Instructions:https://us02web.zoom.us/j/81764605670?pwd=NmxDYThSSDh6QzdkUXJjZTBzelBaQT09Meeting ID: 817 6460 5670Passcode: 482534Dial by your location• +1 253 205 0468 US
***
Your host for this program isRobert Kelleman, the founder/director of the non-profit community organizations Washington, DC History & Culture and Texas History & Culture.
Washington, DC History & CultureExperience the history and culture of Washington, DC - and the world!
YouTube Previously Recorded Programs:http://www.Youtube.com/c/WashingtonDCHistoryCulture
Donations Support Our Non-Profit Community Programs - Thank You!PayPal: DCHistoryAndCulture@gmail.comVenmo: @DCHistoryAndCultureGoFundMe:https://gofund.me/d29491c0
We look forward to seeing you. Thanks!
Robert Kellemanrkelleman@yahoo.com202-821-6325 (text only)https://www.linkedin.com/in/robertkelleman/",209,Robert K. and Robert K.,Entertainment
https://www.meetup.com/northyorkphysics/events/304835389/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-18T16:00:00-05:00,Another IN-PERSON Get Together! From 4:00pm,"3 Park Home Ave · Toronto, ON","Hey NYPGrs!
We’re having another IN-PERSON get together! Our table is booked at the Trio Bar in the Novatel, for Wednesday, December 18th from 4pm to 10pm for drinks, snacks, catching up and comparing notes with our circle of very scientific friends new and old!!
We know there are a lot of members who live too far away to attend, but if you can make it, we’d love to see you! We’ve moved the time back to 4pm for people who can come earlier but can’t stay late.. We'll be there at 4pm waiting for you!!
The in-person attendance limit is 25 with a waitlist..so if you’ve RSVPd and can’t make it after all, it will be appreciated if you can change your RSVP accordingly.
If you have a question ahead of time, plz send Betty a Meetup message.
So, NYPG members..whether you come early or later, we look forward to seeing you who can make it in person, on Wednesday, December 18th, from 4pm to 10pm +/- for an evening of cheer and catchup!
Betty and Mohsen
+++++++++++++++++About the North York Physics Group (NYPG)
NYPG was established in 2007 and now has almost 1,900 members.
Our presentations provide a venue for learning from members and guestacademics and scientists. We also have video lectures covering on all aspects of Physics.
We encourage our members to submit presentations or help us find great Physics presenters, whether they be professional academics, post-grads, or just physics enthusiasts.
Within our 3 hour +/- meetup, each member gets to learn and discuss many aspects of Physics.
The only ""formal"" qualifications you need to join is a sincere personaldesire and enthusiasm for Physics; to keep yourself informed and tocourteously share your insights.
BTW: Some members have asked if we will be going back to in person meetings. That would be nice, but, many of our regular attendees are at too much of a distance, or prefer not travelling, so the virtual meetings work well. However, we are looking into possible hybrid meetings meaning an appropriate free meeting space with reliable internet service is a must.
In the meantime, we are having a few in-person informal meetings just to meet and catchup. We hope to see you there!
Mohsen and I would like to thank our Organizing Team: Linda, Dan, Larry, Vera and Avo for their past and present dedicated support of NYPG. Thank you TEAM!
Betty and Mohsen.",13,Betty M. and Mohsen K.,Entertainment
https://www.meetup.com/toronto-gaymers/events/304711392/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-16T17:00:00-05:00,"DIY Chill, Craft & Chat","425 Church St · Toronto, ON","Join other Gaymers this evening to work on your DIY project with others and show off your work in progress!
Come chat, craft, and work on whatever project you wish! (Or just chill with us!) The only thing you have to do is bring your project, materials, and yourself!
Your host, Nef, is also happy to teach you how to crochet: there's still time to learn and plan those end of year projects!
While this event is free, we encourage folks to get some food or drinks if possible! (Only if this is a possibility for you!)",12,Toronto G.,Entertainment
https://www.meetup.com/rladies-philly/events/304199663/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-17T12:00:00-05:00,Lunch & Learn: An Introduction to Survival Analysis in R,Online,"This talk will provide a general introduction to survival analysis in R. After introducing the concept of and need for survival analysis methods, we will first discuss how to format a dataset properly to conduct a survival analysis, including working with dates, calculating date differences, and coding events and censoring. Then, we will learn how to perform basic survival analyses in R including plotting Kaplan-Meier curves and fitting Cox regression models. We will discuss the proper ways to interpret the results, and some of the common ways survival analysis results are mis-interpreted.
Emily Zabor is an Associate Staff (Faculty) Biostatistician at the Cleveland Clinic in the Department of Quantitative Health Sciences, with a joint appointment in the Taussig Cancer Institute. Emily primarily collaborates with medical oncologists to plan and conduct clinical trials and retrospective data analyses for scientific presentation and publication. Emily’s methodological research is focused on early phase clinical trial design, as well as statistical methods for observational studies. Emily is an avid R user and enthusiast, with specific interests in reproducibility and statistical graphics.",73,Shannon and Jenny L.,Business
https://www.meetup.com/to-nerd-herd/events/303924742/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T14:00:00-05:00,~Super Cool Movie Afternoon~ Let's Watch SONIC 1 & 2!,"299 Roehampton Ave · Toronto, ON","In preparation for the release of the3rd Sonic movie, let's get together and watch/re-watch the first 2 films in theSonic Cinematic Universe!
Sonic The Hedgehog (2020)Sonic The Hedgehog 2 (2022)
Event Info:
Will these movies be better than you remember?Worse?! Will Sonic 2 have more Knuckles scenes thanthe actual Knuckles series? RSVP to find out!",10,Emma,Entertainment
https://www.meetup.com/ca-badminton-meetup-toronto-group-gta/events/304630423/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T09:00:00-05:00,9AM Sunday  Morning Badminton @ CA Badminton,"1370 Birchmount rd, unit 6 · Scarborough, ON","Cost $ 15/person, Feather birdies included, plastic birdies available upon request.*** please try to have cash and pay before playing.(EMT OR DEBIT CARD IS ACCEPTED*PLUS TAX)
Time: Sunday 9:00 AM-12:00PM*** Please bring your own racquet. (Racquets can be rented in the club)*** please bring indoor gym sport shoes. (change shoes in the club)
Location: 1370 Birchmount Rd, Unit # 6*The close intersection in Birchmount Rd & Lawrence Ave
***************** Wintertime please ensure you change to your court shoes before getting on any courts.* No outside food allowed.* This weekly gathering is for all level (beginner to advance) badminton players.* This event is for the purpose of playing friendly double games and for all levels of players from beginner to advance. Please do not use this as an opportunity to train or play singles games*Do not show up if you are not on the going list, you will be asked to leave immediately
******************************************************************************Please give at least 48 hour notice in advance for cancellation or you will be marked as no-show. Consistent no-shows will be removed from future going lists.******************************************************************************",23,Rick,Entertainment
https://www.meetup.com/friendsthroughcomedy/events/304429699/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T19:00:00-05:00,"Holiday Group Pictionary Social Game Night, Holiday Party & Comedy  $100prizes","154 Danforth Ave · Toronto, ON","(In order to attend the holiday group Pictionary meetup you must buy a ticket to the comedy showfound here. We will sell out quickly for this event and won't be able to sell more at the door)
Just in time for the holidays it is a Holiday themed Group Pictionary Game night! We will split our group into two groups where each team will try and get their team to guess what holiday seasonal item they are drawing before the other team! The group with the most points scored wins!We are also doing an ugly sweater contest for our holiday party. Come dressed in your ugliest festive sweater for a chance to win a prize pack!We will be playing Pictionary from 7-8:30. After Pictionary we will have a small mix and mingle get holiday get together inside the Black Swan bar after from 8:30-9 to show off our ugly sweaters
We will then break for an hour and the comedy show will start right at 10pm on the 3rd Floor of the Social Capital Theater right above the Black Swan Bar where we had our meetup. The show is called A Very Funny Christmas and will be featuring comics as seen on Netflix, CBC and Crave TV! At the end of the comedy show we will be doing a raffle of over $100 worth of prizes to lucky audience members from the MeetUp",23,Dana T.,Entertainment
https://www.meetup.com/meetup-group-kkdvtxpq/events/304072710/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-14T14:00:00-05:00,"Dine (in the dark), Christmas (in a Castle) and Make it Rein(deer) comedy show","1 Austin Terrace, · Toronto , ON","First stop 4:30pm at Casa Loma castle which will be decorated for the holidays. We will tour both inside and outside the castle gardens and tunnels. There will be approximately 2 km walking outside. ($51 US).
Next, we will have dinner at 7 PM at ONoir Toronto. This is a totally “ in the dark” dining experience, which means we will be eating in pitch black! The waiters are all blind. You can choose your own food or let them choose a surprise meal. There are no lights, including cell phones allowed while dining. ($35US plus tip/drinks).
Finally, we will see a comedy improv show called “ Make it Reindeer” at theater ‘73 at 10 PM. ($36 US).
I will need $88 US to be sent via Venmo to reserve the castle and comedy experiences. Please Venmo me @AdventureD777. Tickets are nonrefundable once booked unless canceled by the venue.
Lastly, I would love to reserve a limo bus for all of this if there is enough interest. I would expect it to be about $125 US per person. Let me know if you are interested in this option.",15,Danielle,Entertainment
https://www.meetup.com/toastmasters-district-60-toronto-downtown/events/304069856/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-09T18:40:00-05:00,OBE Toastmasters: Public Speaking & Leadership (master communication skills),"1 Bloor St E · Toronto, ON","Join us as a guest for an immersive and dynamic event hosted byOBE Toastmasters Club in Toronto(Yorkville,conveniently located at theYonge & Bloor subway station)! Discover the secrets to mastering the art ofpublic speakingandleadershipskills while having a great time.
At our event, you'll gain valuable insights on overcoming the fear ofpublic speaking, enhancing yourcommunication skills, and becoming a master ofimpromptu speaking. It's all aboutself-empowerment,leadership, andprofessional developmentthrough effectivepresentations, real-lifepracticeand self-studycourses.
Whether you're looking to boost your confidence in English public speaking or seeking to market your business through powerful presentations, this event is worth trying! But it's not all serious business! You'll also have the opportunity tosocializeandconnect with like-minded individualswho share yourpassionforpersonal growthandsuccess.
As a member, you'll have access to a range of valuable courses designed to transform your skills and capabilities:
Embark on a transformative journey of growth and success.RSVPnowonMeetup!",10,Danuta S.,Entertainment
https://www.meetup.com/toronto-gaymers/events/304377307/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T15:00:00-05:00,Sunday Gayme Brew,"301 Lansdowne Av. Toronto, Ontario, · Toronto, ON","Physically Accessible VenueThis is an opportunity to meet up for some LGBTQ2IA-flavoured gaming and socializing—allies also welcome. Come for the gaming, socializing, not to mention the draft! :) Be sure to invite friends and such, too.
Although Fred, your amiable host, starts the event at 3pm, feel free to drop in when you are able, Steadfast opens at Noon!
You'll have access to a robust library of board games, and attendees are welcome to bring their own games.
There is no event fee. Instead we ask attendees to purchase beverages or food from the venue, Steadfast Brewery, conveniently located at Lansdowne and Dundas, 301 Lansdowne Ave. Of course, since they are offering us their space for free, please consider buying a drink if you can.
Note - Sunday's is usually Miguel's day off, he may or may not pop in to cook up his amazing tacos, if the kitchen is closed, Steadfast welcomes outside food should you be hungry.
We provide nametag stickers with a pronoun field; we want this to be a comfortable environment for everyone, kindly respect people's listed or stated pronouns.
Steadfast Brewery is an accessible space with a smooth entrance and large single stall washrooms available on the main floor. For those with sensory concerns, there may be possible loud noises.
Steadfast offers an annual Brew Membership that offers the following:Your own mug! It has your name on it and is reserved for you.A larger pour-19.5 oz vs 16 oz1$ off pours in that mug (if you do the math, this sums to about a 40% discount on beer to stay, I think)1 free growler fill a month (15$ value each, so $180 value for the year)30% off merch.It costs $150 year one, $100 every year after that.",7,Jai and Toronto G.,Entertainment
https://www.meetup.com/the-starseeds-and-lightworkers-collective/events/303817310/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T20:00:00-05:00,The UFO Contactee Experience - An Opportunity for Sharing,Online,"Tonight, the members of the Starseeds and Lightworkers Collective can commune amongst themselves to share deep and personal stories of their experiences as contactees (experiencers) with extraterrestrial beings and UFO sightings.
This is a safe space to share what you have witness and to get a perspective on what you seen and how your story fits into a larger narrative surrounding the contact between humans and beings from other worlds.
Large scale contact is very imminent and tonight is your night to talk about what matters to you as we all prepare for the global event.
........Keep Looking Up!!!
This evening will be moderated by our distinguished panel of experts in the field of extraterrestrial contact:
Kevin Estrella- Founder & Director of 'Pyramids on MarsContactee with the P'nti race of beings.
Dr. Gregory J. Sova- Retired Aerospace EngineeringDoctoral graduate in aerodynamics / minor intheoretical physicsAuthor ""The Apport/UFO Mystery""
Krystal Kelley- Director, Executive Producer and HostThe Universe On Earth",43,Crystal C.,Entertainment
https://www.meetup.com/www-japanese-english-meetup/events/304640003/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T16:00:00-05:00,Japanese-English Language Exchange / 英語と日本語交流 - 対面/In-Person Event,"5150 Yonge Street, street level (North York Subway) · North York, ON","**Let's make friends, learn a new language, and have fun :)****英語と日本語を一緒に学びましょう！**
このイベントは、英語と日本語のラングエッジエクスチェンジです。英会話を学びたい方、ぜひご参加ください！1対1での会話なので、自分のペースでお話できます🙆‍♀️■ 日時 : 毎週日曜 16時~18時■ 場所 : The foodcourt inside North York Centre building on east side of Yonge Street, nearby to Subway restaurant and Booster Juice.
■ 費用 : 無料■ 詳細 : 1セッション40分(英語20分、日本語20分)。2セッション行います。セッション毎に会話の相手を変えて行います！■ 参加人数 : 最大14人 / 7組※ 基本的に1対1での会話ですが、どうしても人数が揃わない場合は3人1組での会話となります。
■ 参加条件英語学習者: 日本人、もしくは日本語をネイティヴレベルで話せる方日本語学習者: 英語を母国語とされる方、もしくは英語をネイティブレベルで話せる方
■ 注意事項1.イベントへのサインアップは、月曜日の午前8時～金曜日の午後8時までとなっております。2.当イベントは、1対1でのラングエッジエクスチェンジのため、主催者側で人数に偏りがでないよう調整させていただいております。したがいまして、サインアップ(=参加表明)後は、以下の流れで参加可否が決定されます。① サインアップ後は自動的にまず”Waiting list”に入ります。② 人数調整に問題がない場合、主催者側が”Going”に登録します。※ やむを得ず欠席する場合は、遅くとも2日前までに主催者へご連絡ください。※ 無断欠席された場合は、次回以降Waiting listの最後に登録され、参加への優先度が低くなりますのでご注意下さい。※ 無断欠席が続いた場合は、グループから削除される場合があります。ご了承ください。※ 1対1のイベントのため、時間厳守でお願いいたします。
See you soon!お会いできるのを楽しみにしています☺️——This is a language exchange for those who are primarily interested in 1-on-1 conversation practice for English and Japanese.
**Timetable **Location:North York Civic Centre Food Court.5150 Yonge Street, street level (North York Subway) · North York, ONThe foodcourt is inside North York Centre building on east side of Yonge Street, close to Subway restaurant and Booster Juice.https://maps.app.goo.gl/mcvY7Sm5Cft2zzFR9After exiting subway station, turn left and enter North York Center building. Walk upstairs.
Time: 4:00pm - 6:00pm (Eastern Time Zone)
There are two sessions. Each session runs 40 minutes with half of it in English and the other half in Japanese. We will change partners after 40 minutes.
**Event Capacity: 14 members max (7 pairs)**Group Size (2 people, max 3)
See you soon!
**Minimum Requirements:⚡**Please note that all English speakers must meet the **minimum requirement** of being able to read **some** **Hiragana** or **Katakana** before joining the group. This is to ensure that we all members can actively participate and take part in our one on one language exchange. If you do not meet this requirement, we encourage to take Japanese lessons before joining our group.
**RSVP Rules😁**1. RSVP opens on Monday at 8:00am and closes on Fri night at 8:00pm.2.To be fair to all members, all RSVP’s will be automatically moved the wait list until the organizer assigns partners and confirms your attendance by changing your status to ""Going"". This is to ensure that everyone can be paired with a native speaker of the language that they are learning. If you are confirmed and need to change your RSVP, please be considerate to your partner but giving us at least two days prior notice. No shows will be moved to the bottom of the waitlist for future events. If you are a repeat no show, you may be removed from the group. Attendees who are not confirmed for this event and show up will be asked to leave and sign up for the next event to members who are confirmed for this meet up. Pairing will be announced by 10pm the day before so please ensure that you check the event page to find out who your partner is before attending.",15,Sean,Entertainment
https://www.meetup.com/fulfill-your-dreams-success-community-toronto/events/304628348/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-10T16:30:00-05:00,Turning Crisis into Opportunity: Create Your Flight Plan for Success,Online,"Please NOTE: VERY IMPORTANT!Please register here to reserve your spot. You will not be able to get into the meeting without zoom access. Registering here will get you in the zoom, click here please:https://us02web.zoom.us/meeting/register/tZMkc-6orTIqH9MxD844rmD29iXaX7A0mn_j
In a world full of uncertainty, how do you take control and create the life you want?
Join Dave Sanderson, the last passenger off the plane during the Miracle on the Hudson, as he shares how to turn challenges into opportunities and chart your own path to success.
Drawing from his life-changing experience, Dave will teach you
Don’t miss this chance to unlock the tools to live the life you’ve always envisioned!
Please register here to save your spot:
See you soon,Dave Sanderson, Organizer
Dave Sanderson is a nationally recognized leadership speaker, accomplished author and inspirational survivor of what is known as""The Miracle on the Hudson.""As the last passenger off US Airways Flight 1549 which had to ditch into the river, he took the lessons he learned from that profound experience in the frigid water and emerged from the wreckage with a mission to encourage others to do the right thing and share coping skills to address any adversity they may face. Named one of Inc.com's Top 100 Leadership speakers, Dave travels the world to share his inspirational leadership lessons and has raised over $14.8M USD for the American Red Cross over the last ten years through his talks. He lives in Charlotte, NC with Terri, his wife of 35 years and has four children who were very happy their father came home that day.
Please NOTE: VERY IMPORTANT!Please register here to reserve your spot. You will not be able to get into the meeting without zoom access. Registering here will get you in the zoom, click here please:https://us02web.zoom.us/meeting/register/tZMkc-6orTIqH9MxD844rmD29iXaX7A0mn_j",40,Dave S.,Entertainment
https://www.meetup.com/soulcity/events/304798268/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-22T17:00:00-05:00,*Holiday Season Dinner Party* (Get To Know the Members) (Sunday December 22nd),"3185 Yonge street (just north of Lawrence avenue) · Toronto, ON","Hello everyone,
I'd like to invite you out to our annual Holiday Season Dinner Party.
This will be a well organized event so please plan to join us if you can :)
*Joined by my other groups too; so we can anticipate a fantastic evening :)
Event Details Bellow:
Sincerely,
Steve FlemmingOrganizer/Host
Event Details:
*Holiday Season Dinner Party*(Get To Know the Members)(Sunday December 22nd)
Time: 5:00 p.m. -8:30 p.m.Location:Taverna Yiannis Greek Grill & PubAddress:3185 Yonge St, Toronto, ON M4N 2K9
*When you arrive you will have an opportunity to choose from a range of topics from light to deep which you will then sit in that respective area for that conversation.
Dinner Party Topicsmay include but not limited too: Travel, Culture, Spirituality, Relationships, Modern Dating, Politics, American Politics, Work/Life balance, Art, Economy, Music, Movies, Sports, Fashion, Hobbies, Books, Psychology, Philosophy, Pop Culture, Theatre, etc)
-I will circulate the room to ensure everyone is seated where they want to be seated-Also the great thing about this dinner party is your free to move around to different tables and meet the other members too through out the evening
Arrival Time:*Join us any time between 5:00 pm and 6:00 pm (if you can) for a fun and highly interactive evening as we get to know the members over dinner and great conversation (of your choice)
Event Fee:5 dollars with the purchase of any appetizer or entree on the menu10 dollars at the door if you wish to only purchase a beverage but take part in the event (Cash only please -HST included)or e transfer in advance to steveflemming11@gmail.com
-------------------Parking/Transportation:
*Plenty of parking on Lawrence and Free parking in Residential area too*Plenty of street parking on Yonge as well*Right beside the Yonge/Lawrence Subway- North side exit
------------Friendly Reminder:*One beverage or appetizer minimum to support the venue- this is greatly appreciated- remember to kindly tip your server too :)------------",32,Steve,Entertainment
https://www.meetup.com/cloud-data-driven/events/304297769/?recId=54c859f5-f820-4a18-9061-fbfedae1a3ec&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T12:00:00-05:00,Left-Shift Analytics: Mastering Real-Time Power BI Dashboards in Microsoft Fabri,Online,"###Left-Shift Analytics: Mastering Real-Time Power BI Dashboards in Microsoft Fabric
####Description
Revolutionize your approach to real-time data visualization in this cutting-edge session on creating high-performance Power BI dashboards with Microsoft Fabric's Real-Time Intelligence. Learn how to shift your analytics paradigm by pushing logic to the KQL database, optimizing performance, and leveraging advanced techniques for scalable, real-time reporting.
We'll explore:
1. The paradigm shift: Moving from traditional analytical reports to real-time, KQL-driven dashboards2. Leveraging Direct Query mode for KQL databases in Fabric Real-Time Intelligence3. Using Functions in KQL for efficient data retrieval at scale4. Utilizing Dynamic M parameters to connect Power BI dashboards to parameterized KQL queries5. Monitoring and optimization of KQL queries6. Best practices for filter design, including how to really make the ""Select All"" option work7. Finally, a demo of connecting Power BI to time series data in Fabric's Real-Time Intelligence
This session is ideal for Power BI developers, data engineers, and analytics professionals looking to push the boundaries of real-time reporting. You'll gain practical insights into creating blazing-fast dashboards that can handle large-scale, time-sensitive data, and learn how to effectively ""shift left"" your analytics for optimal performance in Microsoft Fabric.
Whether you're new to real-time analytics or looking to refine your skills, this session will equip you with the knowledge to create cutting-edge, performant dashboards that leverage the full power of Fabric's Real-Time Intelligence capabilities.
###Vinayak Vemula
Data Solutions ArchitectExperienced Data Solutions Architect specializing in cloud architectures, currently, for Microsoft Azure's Fabric platform and real-time analytics components. Skilled in translating business requirements into scalable solutions. Seeking opportunities to contribute expertise in designing efficient data solutions for organizations.",69,datadrivencommunity and 4 others,Entertainment
